Probe_ID,median
cg05056497,0.464
cg05059108,0.726
cg05059607,0.522
cg05063138,0.02
cg05065162,0.941
cg05070268,0.952
cg05072215,0.821
cg05078817,0.934
cg05081614,0.392
cg05083128,0.786
cg05087948,0.056
cg05089968,0.945
cg05090127,0.108
cg05090759,0.649
cg05091519,0.016
cg05092310,0.042
cg05093169,0.187
cg05099387,0.083
cg05102552,0.207
cg05106502,0.429
cg05106770,0.431
cg05125838,0.386
cg05127178,0.239
cg05131940,0.67
cg05132222,0.939
cg05144928,0.534
cg05147525,0.245
cg05149097,0.463
cg05149386,0.057
cg05152300,0.159
cg05155047,0.73
cg05156137,0.34
cg05158197,0.065
cg05172940,0.554
cg05174890,0.112
cg05179172,0.875
cg05180206,0.937
cg05182249,0.133
cg05182912,0.947
cg05187965,0.581
cg05203213,0.374
cg05208605,0.189
cg05213896,0.184
cg05218245,0.867
cg05220114,0.722
cg05222216,0.932
cg05227215,0.949
cg05228408,0.435
cg05238695,0.925
cg05241355,0.076
cg05248542,0.924
cg05250458,0.287
cg05260372,0.745
cg05262777,0.848
cg05265042,0.031
cg05265359,0.468
cg05270634,0.051
cg05271255,0.23
cg05272277,0.026
cg05276137,0.053
cg05280698,0.346
cg05290300,0.206
cg05294243,0.277
cg05294455,0.7
cg05294577,0.206
cg05295197,0.954
cg05295671,0.092
cg05303999,0.944
cg05308744,0.98
cg05308819,0.588
cg05309877,0.082
cg05310309,0.784
cg05313771,0.08
cg05316065,0.587
cg05323251,0.237
cg05323898,0.957
cg05324407,0.702
cg05324516,0.818
cg05331214,0.863
cg05331334,0.935
cg05333146,0.78
cg05337441,0.235
cg05339588,0.389
cg05344430,0.023
cg05347479,0.814
cg05351599,0.329
cg05355167,0.04
cg05360774,0.139
cg05362168,0.975
cg05362516,0.082
cg05365729,0.349
cg05370662,0.055
cg05373692,0.311
cg05374271,0.716
cg05376617,0.146
cg05379350,0.245
cg05385434,0.4
cg05386977,0.924
cg05388545,0.514
cg05388821,0.06
cg05391998,0.901
cg05395210,0.291
cg05396044,0.055
cg05399434,0.331
cg05401069,0.883
cg05404236,0.224
cg05407338,0.416
cg05420896,0.235
cg05422352,0.455
cg05425050,0.038
cg05436231,0.193
cg05440289,0.901
cg05441133,0.914
cg05442902,0.306
cg05444541,0.871
cg05445326,0.924
cg05446424,0.026
cg05455729,0.851
cg05461666,0.954
cg05463027,0.26
cg05466385,0.944
cg05468948,0.335
cg05470074,0.118
cg05470939,0.948
cg05473871,0.222
cg05483252,0.061
cg05488632,0.288
cg05492270,0.024
cg05495454,0.968
cg05496363,0.831
cg05497175,0.888
cg05501584,0.18
cg05507697,0.927
cg05513157,0.965
cg05515143,0.878
cg05516505,0.286
cg05517697,0.808
cg05520031,0.213
cg05521150,0.411
cg05522498,0.609
cg05523085,0.035
cg05528516,0.874
cg05530348,0.946
cg05532892,0.04
cg05540369,0.051
cg05542681,0.064
cg05546763,0.907
cg05548952,0.843
cg05551889,0.047
cg05561193,0.764
cg05571310,0.076
cg05575505,0.53
cg05575921,0.853
cg05577016,0.416
cg05580441,0.928
cg05590257,0.083
cg05590274,0.384
cg05590616,0.04
cg05593641,0.033
cg05597836,0.137
cg05601974,0.568
cg05604079,0.137
cg05612876,0.948
cg05613002,0.048
cg05619598,0.453
cg05630016,0.063
cg05634040,0.925
cg05638439,0.575
cg05641529,0.325
cg05644574,0.089
cg05656900,0.644
cg05661164,0.872
cg05661333,0.075
cg05666607,0.043
cg05670953,0.146
cg05673214,0.829
cg05675373,0.112
cg05694095,0.973
cg05694245,0.026
cg05694771,0.918
cg05697249,0.726
cg05709162,0.865
cg05710301,0.961
cg05724110,0.07
cg05724492,0.981
cg05725263,0.972
cg05726118,0.509
cg05732130,0.046
cg05732876,0.22
cg05737638,0.92
cg05747812,0.917
cg05755779,0.921
cg05756780,0.282
cg05759269,0.046
cg05759421,0.115
cg05765580,0.464
cg05767404,0.386
cg05770238,0.025
cg05774698,0.923
cg05780020,0.962
cg05782444,0.93
cg05784862,0.723
cg05785488,0.013
cg05787209,0.581
cg05791136,0.036
cg05795849,0.244
cg05800368,0.716
cg05805445,0.818
cg05815247,0.869
cg05817517,0.055
cg05826607,0.897
cg05829145,0.813
cg05839636,0.073
cg05839709,0.873
cg05845376,0.827
cg05847778,0.036
cg05850205,0.676
cg05851163,0.041
cg05861879,0.736
cg05863683,0.942
cg05868316,0.042
cg05869537,0.144
cg05870072,0.096
cg05874270,0.225
cg05874888,0.718
cg05875066,0.917
cg05886671,0.057
cg05890019,0.19
cg05890887,0.012
cg05894910,0.151
cg05896902,0.064
cg05897465,0.927
cg05898102,0.14
cg05898618,0.903
cg05900234,0.894
cg05902884,0.261
cg05903289,0.619
cg05903609,0.143
cg05903736,0.248
cg05915866,0.439
cg05921699,0.905
cg05922911,0.904
cg05923197,0.967
cg05923226,0.6
cg05924780,0.258
cg05928290,0.985
cg05928581,0.746
cg05929069,0.806
cg05930162,0.116
cg05940231,0.167
cg05940691,0.953
cg05951994,0.306
cg05957749,0.566
cg05958985,0.784
cg05960024,0.964
cg05960039,0.323
cg05966235,0.939
cg05971102,0.684
cg05977696,0.923
cg05980111,0.895
cg05985146,0.215
cg05991454,0.095
cg05993589,0.916
cg05995267,0.127
cg05996213,0.427
cg05998295,0.741
cg06007201,0.119
cg06015525,0.262
cg06022832,0.956
cg06024411,0.263
cg06028605,0.368
cg06035815,0.124
cg06044899,0.568
cg06048436,0.363
cg06048973,0.641
cg06051159,0.755
cg06068163,0.883
cg06069616,0.242
cg06073139,0.872
cg06083642,0.806
cg06083669,0.349
cg06089468,0.866
cg06093152,0.6
cg06097994,0.827
cg06103086,0.583
cg06112560,0.896
cg06116806,0.074
cg06117855,0.185
cg06120399,0.58
cg06121469,0.038
cg06126421,0.803
cg06127256,0.986
cg06132400,0.26
cg06133392,0.931
cg06134964,0.577
cg06136160,0.889
cg06139893,0.865
cg06144905,0.254
cg06145435,0.791
cg06146665,0.859
cg06147196,0.868
cg06147863,0.207
cg06156376,0.157
cg06171242,0.045
cg06176987,0.951
cg06179486,0.802
cg06182099,0.871
cg06189653,0.048
cg06191898,0.032
cg06195193,0.246
cg06197751,0.56
cg06198384,0.152
cg06198975,0.95
cg06204938,0.365
cg06205746,0.875
cg06213463,0.016
cg06217245,0.069
cg06223162,0.554
cg06226630,0.304
cg06231995,0.106
cg06235390,0.158
cg06236737,0.977
cg06259664,0.942
cg06263193,0.021
cg06266189,0.564
cg06270615,0.433
cg06275642,0.493
cg06288684,0.536
cg06291867,0.205
cg06295856,0.178
cg06298190,0.32
cg06326667,0.922
cg06327515,0.274
cg06335143,0.229
cg06349851,0.952
cg06361108,0.045
cg06363129,0.612
cg06370057,0.308
cg06372850,0.29
cg06376599,0.039
cg06377473,0.078
cg06385324,0.045
cg06386478,0.648
cg06396324,0.895
cg06407657,0.862
cg06411551,0.168
cg06412669,0.143
cg06413272,0.871
cg06416491,0.37
cg06418475,0.273
cg06418867,0.907
cg06419846,0.941
cg06419850,0.04
cg06424860,0.068
cg06425162,0.934
cg06430061,0.469
cg06439736,0.957
cg06440348,0.942
cg06441568,0.076
cg06448705,0.31
cg06449934,0.709
cg06455149,0.442
cg06457011,0.302
cg06458239,0.166
cg06460691,0.476
cg06462220,0.181
cg06462291,0.076
cg06468454,0.486
cg06469345,0.08
cg06470822,0.105
cg06473578,0.876
cg06490845,0.537
cg06493612,0.675
cg06493994,0.21
cg06496666,0.636
cg06500161,0.627
cg06500246,0.515
cg06504636,0.838
cg06513075,0.045
cg06513864,0.023
cg06521852,0.218
cg06522772,0.892
cg06526721,0.413
cg06531741,0.939
cg06532163,0.432
cg06533629,0.137
cg06537575,0.866
cg06545268,0.045
cg06547285,0.785
cg06554744,0.984
cg06557358,0.085
cg06559878,0.645
cg06560379,0.1
cg06563451,0.078
cg06565975,0.974
cg06567829,0.898
cg06570818,0.075
cg06573459,0.306
cg06574296,0.433
cg06574422,0.586
cg06594770,0.111
cg06599546,0.162
cg06606003,0.044
cg06608359,0.34
cg06614469,0.046
cg06619299,0.948
cg06625004,0.329
cg06625640,0.554
cg06629644,0.778
cg06636172,0.92
cg06637774,0.379
cg06638433,0.229
cg06638451,0.592
cg06638568,0.332
cg06638913,0.813
cg06639320,0.43
cg06639733,0.778
cg06644428,0.061
cg06644488,0.097
cg06645033,0.254
cg06648759,0.575
cg06649410,0.209
cg06652313,0.908
cg06658468,0.212
cg06660332,0.2
cg06664254,0.426
cg06670463,0.171
cg06672560,0.155
cg06672696,0.852
cg06673536,0.29
cg06675483,0.152
cg06677021,0.512
cg06682875,0.779
cg06685111,0.432
cg06688848,0.046
cg06690548,0.934
cg06697600,0.307
cg06699216,0.359
cg06705834,0.074
cg06711656,0.039
cg06712013,0.367
cg06712651,0.876
cg06713116,0.061
cg06722193,0.182
cg06723492,0.211
cg06732989,0.951
cg06734510,0.942
cg06737494,0.242
cg06738602,0.162
cg06739520,0.059
cg06751446,0.336
cg06752157,0.928
cg06754224,0.266
cg06758350,0.367
cg06772202,0.944
cg06772309,0.747
cg06779421,0.871
cg06780601,0.436
cg06784991,0.248
cg06791867,0.762
cg06796779,0.313
cg06799422,0.075
cg06804921,0.031
cg06805925,0.786
cg06806080,0.851
cg06806711,0.434
cg06807593,0.026
cg06809285,0.941
cg06809342,0.809
cg06810647,0.223
cg06813250,0.844
cg06817264,0.172
cg06819923,0.698
cg06836406,0.339
cg06836772,0.189
cg06841024,0.071
cg06845706,0.984
cg06851000,0.313
cg06852243,0.604
cg06852461,0.219
cg06853416,0.668
cg06854487,0.118
cg06864533,0.823
cg06867482,0.828
cg06868100,0.231
cg06871074,0.139
cg06872257,0.397
cg06872548,0.585
cg06874016,0.354
cg06882058,0.278
cg06885782,0.614
cg06888746,0.091
cg06891458,0.428
cg06891775,0.729
cg06894204,0.943
cg06894612,0.57
cg06901711,0.491
cg06903103,0.762
cg06903325,0.951
cg06903569,0.042
cg06908352,0.788
cg06908778,0.165
cg06911753,0.99
cg06912355,0.925
cg06916725,0.96
cg06919203,0.698
cg06926735,0.037
cg06933824,0.643
cg06946797,0.237
cg06952310,0.743
cg06958034,0.066
cg06959205,0.551
cg06975196,0.119
cg06975311,0.22
cg06975499,0.049
cg06980387,0.174
cg06984176,0.831
cg06987468,0.229
cg06993413,0.095
cg06994022,0.858
cg06994793,0.039
cg06995548,0.201
cg07000567,0.698
cg07003587,0.035
cg07011538,0.742
cg07016730,0.857
cg07017437,0.882
cg07018435,0.805
cg07025011,0.503
cg07029024,0.686
cg07030727,0.225
cg07031797,0.071
cg07033372,0.026
cg07038400,0.704
cg07039560,0.668
cg07040244,0.346
cg07045089,0.902
cg07053014,0.068
cg07066369,0.027
cg07066898,0.081
cg07068570,0.884
cg07069844,0.153
cg07073120,0.15
cg07073964,0.605
cg07074042,0.779
cg07076816,0.196
cg07077459,0.566
cg07077694,0.086
cg07080372,0.212
cg07080864,0.521
cg07082267,0.482
cg07095347,0.441
cg07095995,0.082
cg07096038,0.027
cg07097041,0.141
cg07101980,0.779
cg07104557,0.739
cg07105440,0.049
cg07109801,0.667
cg07110949,0.912
cg07112131,0.256
cg07113802,0.331
cg07115626,0.188
cg07120314,0.021
cg07120479,0.019
cg07125725,0.762
cg07127225,0.05
cg07136905,0.763
cg07142010,0.272
cg07154254,0.369
cg07155455,0.89
cg07155684,0.902
cg07158339,0.43
cg07163735,0.046
cg07170253,0.301
cg07171111,0.025
cg07172885,0.328
cg07178825,0.352
cg07180649,0.172
cg07181374,0.342
cg07185119,0.926
cg07186576,0.408
cg07195011,0.025
cg07196577,0.649
cg07197480,0.971
cg07200877,0.502
cg07203024,0.769
cg07205627,0.476
cg07207669,0.724
cg07211140,0.108
cg07211259,0.241
cg07216884,0.828
cg07230690,0.62
cg07234102,0.063
cg07235774,0.871
cg07235805,0.401
cg07236943,0.062
cg07240834,0.097
cg07244098,0.482
cg07248223,0.339
cg07251046,0.797
cg07255019,0.161
cg07258300,0.938
cg07265300,0.066
cg07268726,0.92
cg07274490,0.848
cg07274590,0.086
cg07284273,0.147
cg07285276,0.845
cg07286682,0.387
cg07291563,0.045
cg07296260,0.619
cg07298431,0.665
cg07303143,0.088
cg07311313,0.033
cg07312601,0.656
cg07315745,0.059
cg07318158,0.833
cg07319199,0.925
cg07320140,0.448
cg07322898,0.884
cg07325246,0.457
cg07326665,0.945
cg07330481,0.578
cg07337598,0.838
cg07338119,0.977
cg07356549,0.437
cg07357987,0.117
cg07360805,0.845
cg07364657,0.67
cg07374224,0.695
cg07378821,0.04
cg07379055,0.468
cg07379335,0.099
cg07384080,0.448
cg07388493,0.517
cg07390013,0.845
cg07393255,0.07
cg07398839,0.262
cg07401435,0.857
cg07408456,0.403
cg07412232,0.955
cg07416107,0.023
cg07417745,0.437
cg07420274,0.37
cg07434260,0.298
cg07434944,0.876
cg07435237,0.055
cg07437033,0.052
cg07437373,0.227
cg07447773,0.718
cg07455279,0.216
cg07461572,0.627
cg07470968,0.871
cg07477034,0.332
cg07484827,0.944
cg07486199,0.974
cg07487572,0.802
cg07494518,0.074
cg07495664,0.113
cg07495704,0.454
cg07495811,0.109
cg07498421,0.119
cg07502389,0.153
cg07504977,0.381
cg07520608,0.231
cg07529654,0.694
cg07536102,0.374
cg07537152,0.9
cg07539443,0.874
cg07540084,0.941
cg07543883,0.636
cg07544187,0.029
cg07547549,0.381
cg07547765,0.722
cg07550554,0.989
cg07553761,0.212
cg07557260,0.078
cg07560510,0.088
cg07561710,0.81
cg07571344,0.23
cg07571531,0.494
cg07571928,0.606
cg07571951,0.488
cg07573872,0.713
cg07581257,0.948
cg07582047,0.013
cg07583137,0.819
cg07584066,0.237
cg07589899,0.415
cg07590529,0.388
cg07592681,0.923
cg07595943,0.987
cg07597022,0.923
cg07598052,0.019
cg07599979,0.586
cg07621046,0.263
cg07621749,0.175
cg07630301,0.451
cg07631435,0.529
cg07637837,0.632
cg07638500,0.324
cg07644368,0.243
cg07654934,0.049
cg07657357,0.626
cg07660627,0.809
cg07663789,0.064
cg07665217,0.837
cg07671586,0.076
cg07675337,0.946
cg07676709,0.615
cg07677157,0.318
cg07688613,0.081
cg07690734,0.981
cg07703358,0.162
cg07708487,0.539
cg07717903,0.673
cg07724977,0.023
cg07725123,0.75
cg07730301,0.442
cg07733920,0.675
cg07736657,0.896
cg07739478,0.838
cg07742235,0.975
cg07743805,0.342
cg07751331,0.814
cg07764386,0.776
cg07770222,0.755
cg07779423,0.433
cg07779444,0.167
cg07781491,0.509
cg07793207,0.223
cg07800658,0.793
cg07803236,0.028
cg07803375,0.805
cg07805332,0.172
cg07806886,0.067
cg07809027,0.71
cg07809484,0.629
cg07810156,0.909
cg07810190,0.74
cg07817698,0.048
cg07823273,0.521
cg07825606,0.959
cg07833467,0.479
cg07834249,0.906
cg07839457,0.521
cg07842062,0.762
cg07843390,0.951
cg07849000,0.063
cg07849904,0.069
cg07850154,0.437
cg07850604,0.078
cg07871532,0.853
cg07882059,0.503
cg07882671,0.024
cg07888957,0.31
cg07890839,0.186
cg07897248,0.072
cg07906193,0.768
cg07907506,0.902
cg07910460,0.385
cg07910813,0.016
cg07917528,0.918
cg07919131,0.164
cg07924503,0.318
cg07925670,0.461
cg07927379,0.022
cg07927953,0.964
cg07929310,0.075
cg07929447,0.898
cg07932199,0.244
cg07938847,0.854
cg07950000,0.198
cg07951355,0.506
cg07951602,0.914
cg07955474,0.639
cg07955995,0.027
cg07961015,0.199
cg07973162,0.806
cg07977153,0.648
cg07978099,0.244
cg07984286,0.314
cg07984980,0.864
cg07986378,0.773
cg07989867,0.12
cg08007899,0.192
cg08012287,0.746
cg08017858,0.058
cg08022502,0.306
cg08025960,0.913
cg08027265,0.839
cg08030082,0.536
cg08034070,0.291
cg08034171,0.451
cg08035942,0.089
cg08038054,0.498
cg08046569,0.097
cg08055490,0.959
cg08062273,0.571
cg08067365,0.033
cg08072101,0.515
cg08073312,0.043
cg08074477,0.651
cg08074621,0.023
cg08074820,0.091
cg08074851,0.055
cg08080395,0.895
cg08081725,0.242
cg08084946,0.943
cg08090640,0.531
cg08090772,0.143
cg08096291,0.061
cg08097417,0.155
cg08107689,0.152
cg08108311,0.05
cg08110542,0.056
cg08110610,0.932
cg08113093,0.028
cg08122369,0.844
cg08122652,0.828
cg08124722,0.947
cg08129490,0.911
cg08131204,0.107
cg08132837,0.089
cg08138571,0.048
cg08140104,0.924
cg08147391,0.922
cg08151809,0.159
cg08161922,0.04
cg08166232,0.052
cg08166272,0.304
cg08167722,0.045
cg08169325,0.066
cg08170837,0.867
cg08173606,0.767
cg08179817,0.523
cg08186124,0.035
cg08190615,0.908
cg08193650,0.02
cg08202754,0.127
cg08203210,0.864
cg08203715,0.156
cg08207604,0.178
cg08208133,0.281
cg08209133,0.185
cg08212685,0.347
cg08220120,0.474
cg08220614,0.519
cg08234504,0.326
cg08235413,0.847
cg08241514,0.616
cg08248579,0.532
cg08248751,0.545
cg08251036,0.954
cg08251399,0.723
cg08260658,0.096
cg08262933,0.154
cg08270964,0.035
cg08274097,0.703
cg08276993,0.803
cg08277216,0.403
cg08280936,0.163
cg08284371,0.106
cg08285446,0.571
cg08291907,0.847
cg08301612,0.38
cg08313880,0.233
cg08317738,0.192
cg08323075,0.026
cg08327269,0.018
cg08329113,0.825
cg08330778,0.126
cg08331960,0.4
cg08332662,0.11
cg08334034,0.69
cg08334432,0.964
cg08349335,0.965
cg08352336,0.229
cg08357125,0.282
cg08362785,0.655
cg08363339,0.814
cg08370996,0.118
cg08373528,0.889
cg08373610,0.404
cg08376310,0.947
cg08397927,0.188
cg08402963,0.929
cg08405844,0.043
cg08410533,0.621
cg08413157,0.019
cg08413469,0.061
cg08415508,0.859
cg08415592,0.274
cg08420066,0.34
cg08424423,0.917
cg08427977,0.554
cg08428188,0.754
cg08429256,0.613
cg08434127,0.029
cg08434234,0.096
cg08438690,0.214
cg08439518,0.469
cg08443203,0.583
cg08448547,0.854
cg08448701,0.036
cg08449448,0.717
cg08453194,0.406
cg08454546,0.95
cg08459186,0.901
cg08462055,0.401
cg08462924,0.096
cg08467103,0.512
cg08468401,0.408
cg08468689,0.253
cg08475827,0.177
cg08478074,0.031
cg08478447,0.06
cg08480461,0.376
cg08481354,0.081
cg08487374,0.04
cg08495185,0.044
cg08516817,0.813
cg08526814,0.018
cg08529529,0.151
cg08530317,0.071
cg08530484,0.711
cg08540945,0.112
cg08541155,0.371
cg08548559,0.273
cg08549335,0.422
cg08551532,0.25
cg08555556,0.185
cg08573679,0.162
cg08577293,0.889
cg08583763,0.037
cg08586737,0.54
cg08587542,0.229
cg08591668,0.761
cg08592707,0.019
cg08593261,0.017
cg08593364,0.03
cg08594681,0.285
cg08596544,0.046
cg08598221,0.551
cg08604223,0.913
cg08606497,0.506
cg08614082,0.901
cg08614441,0.557
cg08614871,0.569
cg08622677,0.211
cg08627089,0.879
cg08637514,0.078
cg08640498,0.707
cg08644365,0.826
cg08645207,0.946
cg08649707,0.912
cg08652441,0.766
cg08654655,0.547
cg08655800,0.701
cg08657705,0.666
cg08659340,0.956
cg08661007,0.161
cg08663634,0.89
cg08665251,0.592
cg08667899,0.069
cg08668790,0.108
cg08671671,0.986
cg08681432,0.031
cg08688335,0.086
cg08690999,0.649
cg08693738,0.154
cg08694544,0.128
cg08695830,0.123
cg08696727,0.024
cg08706141,0.953
cg08708711,0.074
cg08723357,0.07
cg08727193,0.038
cg08733522,0.044
cg08738300,0.114
cg08742502,0.611
cg08749599,0.932
cg08751472,0.035
cg08759041,0.608
cg08761208,0.226
cg08762484,0.647
cg08762734,0.704
cg08764927,0.862
cg08771731,0.041
cg08786136,0.985
cg08789022,0.075
cg08797444,0.944
cg08797606,0.018
cg08822136,0.487
cg08822715,0.13
cg08824847,0.565
cg08826281,0.063
cg08828403,0.074
cg08832227,0.311
cg08832695,0.594
cg08834401,0.198
cg08841257,0.116
cg08841511,0.172
cg08844900,0.765
cg08858130,0.144
cg08863440,0.131
cg08870743,0.028
cg08871010,0.881
cg08871545,0.236
cg08872493,0.727
cg08877853,0.953
cg08878450,0.436
cg08893087,0.714
cg08896629,0.035
cg08897150,0.413
cg08899632,0.038
cg08900043,0.126
cg08908643,0.855
cg08911208,0.693
cg08911275,0.029
cg08915824,0.372
cg08916461,0.349
cg08923669,0.369
cg08926056,0.099
cg08931376,0.915
cg08939521,0.054
cg08949164,0.145
cg08949735,0.842
cg08952475,0.886
cg08961408,0.102
cg08963419,0.127
cg08965235,0.229
cg08965367,0.041
cg08972170,0.641
cg08980304,0.829
cg08980461,0.249
cg08985570,0.505
cg08993878,0.812
cg08995871,0.696
cg09000779,0.477
cg09010671,0.021
cg09012544,0.05
cg09019938,0.088
cg09025210,0.732
cg09025327,0.732
cg09035930,0.699
cg09042411,0.722
cg09043511,0.88
cg09045681,0.107
cg09048038,0.079
cg09051966,0.423
cg09053247,0.734
cg09058748,0.068
cg09063262,0.42
cg09065714,0.963
cg09073799,0.668
cg09096950,0.376
cg09105193,0.073
cg09107232,0.071
cg09110394,0.28
cg09118625,0.636
cg09119665,0.137
cg09124496,0.712
cg09133026,0.845
cg09134314,0.149
cg09137696,0.116
cg09142135,0.914
cg09143195,0.262
cg09143673,0.069
cg09144073,0.089
cg09144707,0.315
cg09151131,0.59
cg09152943,0.141
cg09153897,0.202
cg09155044,0.766
cg09159795,0.067
cg09164168,0.727
cg09164913,0.404
cg09166705,0.024
cg09173348,0.544
cg09178970,0.981
cg09183146,0.307
cg09185587,0.583
cg09191327,0.059
cg09194449,0.224
cg09196959,0.096
cg09206294,0.878
cg09217898,0.808
cg09219182,0.555
cg09225388,0.224
cg09226596,0.897
cg09230154,0.953
cg09234599,0.232
cg09236382,0.839
cg09244872,0.661
cg09249494,0.172
cg09254686,0.074
cg09254939,0.09
cg09255514,0.787
cg09264140,0.144
cg09268963,0.803
cg09270028,0.787
cg09278098,0.17
cg09278695,0.676
cg09279566,0.83
cg09279803,0.965
cg09293925,0.941
cg09294095,0.689
cg09294589,0.069
cg09304040,0.069
cg09315264,0.724
cg09315887,0.206
cg09319676,0.953
cg09322949,0.084
cg09323728,0.595
cg09328979,0.07
cg09349128,0.331
cg09351263,0.052
cg09357934,0.507
cg09359017,0.837
cg09361966,0.808
cg09363564,0.143
cg09363587,0.166
cg09367901,0.952
cg09372546,0.094
cg09374031,0.506
cg09374293,0.509
cg09383860,0.224
cg09396704,0.204
cg09397087,0.834
cg09404119,0.621
cg09404633,0.322
cg09407967,0.74
cg09409484,0.608
cg09413557,0.048
cg09415366,0.242
cg09418283,0.02
cg09424308,0.503
cg09425279,0.748
cg09428349,0.063
cg09428868,0.935
cg09432590,0.144
cg09434995,0.899
cg09435170,0.781
cg09436502,0.13
cg09438113,0.565
cg09438320,0.881
cg09441152,0.055
cg09450197,0.049
cg09462576,0.583
cg09464137,0.061
cg09466818,0.515
cg09468836,0.908
cg09480837,0.801
cg09494188,0.857
cg09496634,0.82
cg09500200,0.085
cg09509673,0.934
cg09521743,0.509
cg09522532,0.505
cg09523819,0.189
cg09524078,0.183
cg09547190,0.437
cg09548179,0.062
cg09550397,0.111
cg09556292,0.072
cg09559780,0.387
cg09560549,0.527
cg09565806,0.265
cg09566331,0.878
cg09569097,0.088
cg09573389,0.042
cg09578028,0.12
cg09578605,0.904
cg09578829,0.779
cg09582351,0.561
cg09584650,0.36
cg09584711,0.612
cg09594075,0.42
cg09596818,0.173
cg09597465,0.081
cg09604333,0.447
cg09605095,0.9
cg09607276,0.046
cg09608412,0.97
cg09611599,0.667
cg09621438,0.173
cg09624858,0.698
cg09625066,0.951
cg09628195,0.08
cg09630437,0.087
cg09636313,0.689
cg09638556,0.033
cg09641027,0.899
cg09645475,0.24
cg09645572,0.795
cg09646392,0.457
cg09650189,0.895
cg09651136,0.804
cg09652142,0.958
cg09662798,0.817
cg09664445,0.577
cg09664474,0.064
cg09671951,0.054
cg09678615,0.081
cg09683824,0.042
cg09690118,0.836
cg09692396,0.294
cg09693106,0.173
cg09700701,0.166
cg09722397,0.097
cg09722555,0.914
cg09728393,0.87
cg09729866,0.563
cg09730836,0.047
cg09731141,0.043
cg09741713,0.765
cg09748749,0.45
cg09754413,0.101
cg09754948,0.034
cg09769542,0.392
cg09773473,0.947
cg09785172,0.059
cg09799873,0.258
cg09806625,0.547
cg09809672,0.54
cg09810078,0.783
cg09826306,0.076
cg09832613,0.707
cg09834822,0.945
cg09837656,0.425
cg09838442,0.848
cg09845806,0.665
cg09851465,0.209
cg09854088,0.244
cg09856367,0.62
cg09868336,0.049
cg09869858,0.963
cg09874213,0.08
cg09882118,0.173
cg09884076,0.08
cg09884146,0.419
cg09885951,0.049
cg09886641,0.743
cg09888620,0.983
cg09892203,0.013
cg09896106,0.856
cg09899215,0.633
cg09904296,0.145
cg09906309,0.056
cg09906752,0.463
cg09915601,0.849
cg09916336,0.676
cg09916663,0.816
cg09920725,0.031
cg09921821,0.016
cg09924848,0.674
cg09929187,0.87
cg09933355,0.897
cg09935271,0.438
cg09937438,0.22
cg09938213,0.413
cg09940915,0.678
cg09944147,0.019
cg09948192,0.319
cg09968620,0.071
cg09969462,0.872
cg09971184,0.952
cg09974041,0.986
cg09975804,0.566
cg09978077,0.147
cg09993145,0.48
cg09996325,0.909
cg10000096,0.905
cg10018167,0.26
cg10021043,0.122
cg10027085,0.045
cg10036013,0.621
cg10043101,0.031
cg10045881,0.647
cg10046620,0.05
cg10052840,0.614
cg10068417,0.118
cg10070101,0.602
cg10071824,0.035
cg10078511,0.763
cg10082647,0.762
cg10084554,0.572
cg10094616,0.032
cg10099638,0.419
cg10101634,0.385
cg10103850,0.244
cg10104252,0.326
cg10106965,0.363
cg10110474,0.318
cg10110957,0.764
cg10116432,0.332
cg10116490,0.332
cg10119082,0.146
cg10120040,0.92
cg10123952,0.56
cg10129391,0.406
cg10130564,0.768
cg10133725,0.246
cg10135197,0.125
cg10142252,0.227
cg10143960,0.284
cg10144483,0.192
cg10147507,0.453
cg10149296,0.538
cg10158181,0.044
cg10169261,0.024
cg10177080,0.847
cg10183248,0.092
cg10189661,0.715
cg10192196,0.314
cg10196532,0.733
cg10202457,0.145
cg10202557,0.67
cg10203610,0.133
cg10208301,0.799
cg10208370,0.032
cg10213353,0.395
cg10213695,0.93
cg10218426,0.038
cg10224107,0.138
cg10225362,0.927
cg10225525,0.96
cg10230190,0.567
cg10232140,0.047
cg10240139,0.824
cg10243676,0.655
cg10245988,0.081
cg10249221,0.04
cg10249997,0.148
cg10253371,0.14
cg10258419,0.1
cg10259872,0.594
cg10266490,0.301
cg10281002,0.145
cg10308629,0.048
cg10308785,0.221
cg10314221,0.084
cg10321156,0.391
cg10323552,0.08
cg10324116,0.902
cg10327168,0.939
cg10338112,0.889
cg10339152,0.54
cg10343742,0.26
cg10345936,0.873
cg10351287,0.022
cg10354495,0.951
cg10355759,0.354
cg10359006,0.43
cg10359291,0.85
cg10362475,0.489
cg10364115,0.134
cg10374813,0.629
cg10376763,0.955
cg10376827,0.521
cg10377274,0.946
cg10378521,0.966
cg10378538,0.857
cg10379472,0.603
cg10381813,0.757
cg10389229,0.018
cg10395519,0.863
cg10395934,0.949
cg10406027,0.244
cg10406295,0.086
cg10407935,0.96
cg10410146,0.944
cg10411590,0.73
cg10418289,0.602
cg10421002,0.108
cg10426464,0.021
cg10431713,0.107
cg10432859,0.935
cg10439456,0.534
cg10441379,0.712
cg10453071,0.499
cg10460820,0.084
cg10460946,0.189
cg10461547,0.088
cg10482356,0.814
cg10486488,0.945
cg10486998,0.128
cg10489614,0.385
cg10493259,0.876
cg10495047,0.173
cg10498798,0.401
cg10501085,0.183
cg10501210,0.837
cg10508317,0.108
cg10509982,0.893
cg10511249,0.019
cg10512089,0.704
